City,Average Rent (INR/month),Food Cost (INR/month),Internet Speed (Mbps),Healthcare Rating,Safety Score,Happiness Index,months_covered,cost_one_person_inr,rent_one_person_inr,monthly_salary_after_tax_inr,income_after_rent_inr,rent_difference_inr,rent_difference_percent
Mumbai,34896,6196,94.48,6.2,2.7,5.3,0.3,61943.98,35233.38,19505.76,-15727.62,337.3799999999974,0.9668156808803227
Delhi,26424,4487,130.26,6.1,2.6,5.6,0.5,42965.4,16694.12,20296.54,3602.42,-9729.880000000001,36.82213139570088
Bengaluru,26667,6936,81.36,8.7,6.7,7.5,0.6,40680.94,19417.9,27325.64,7907.74,-7249.0999999999985,27.183785202684962
Hyderabad,25785,6375,108.84,7.8,7.7,6.3,0.6,41295.99,14936.85,25480.5,10543.66,-10848.15,42.07155322862129
Ahmedabad,20881,3632,130.8,5.5,7.9,4.3,0.7,38835.8,13970.34,27237.78,13267.43,-6910.66,33.09544562042048
Chennai,21323,6389,145.14,8.6,4.0,7.1,0.7,41295.99,13970.34,28204.28,14233.94,-7352.66,34.482296112179334
Kolkata,25710,4525,114.65,5.1,4.7,7.1,1.0,26447.0,10631.52,31103.79,20472.27,-15078.48,58.64830805134189
Pune,33540,6563,82.9,7.2,6.0,7.9,0.9,45425.58,18363.53,43053.26,24689.73,-15176.470000000001,45.24886702444842
Jaipur,8774,6625,35.33,4.0,6.7,7.5,0.9,29610.1,10982.98,29961.56,18978.58,2208.9799999999996,25.17643036243446
Surat,9697,5034,47.41,8.7,4.7,5.8,0.4,28292.14,40241.62,23811.09,-16430.53,30544.620000000003,314.99040940497065
Lucknow,10047,4676,79.31,6.6,6.2,4.7,1.0,33915.43,9928.61,30928.06,20999.45,-118.38999999999942,1.1783617000099473
Kanpur,4519,3551,103.76,6.1,7.5,7.8,1.3,28116.42,8751.23,37957.16,29205.93,4232.23,93.65412701925204
Nagpur,13408,5502,119.74,8.2,8.8,5.6,0.5,25568.37,19945.08,25744.09,5799.01,6537.080000000002,48.75507159904536
Indore,11466,4553,92.54,6.2,6.7,4.3,0.9,31718.83,11246.57,29170.78,17924.22,-219.4300000000003,1.9137449851735593
Thane,6315,4085,126.67,4.0,2.8,5.7,1.3,42789.67,20472.27,55266.33,34794.06,14157.27,224.18479809976247
Bhopal,11885,7240,109.13,5.0,8.9,4.9,0.9,29785.83,9401.43,27764.96,18363.53,-2483.5699999999997,20.896676482961716
Visakhapatnam,6479,7156,92.15,5.2,4.8,7.7,0.6,27237.78,9752.88,19505.76,9752.88,3273.879999999999,50.53063744405
Patna,17917,5112,93.54,7.1,7.4,8.2,1.0,28116.42,9049.97,27501.37,18451.4,-8867.03,49.48947926550204
Vadodara,12411,6920,63.71,7.6,7.4,5.8,0.9,32861.06,11334.43,30664.47,19330.04,-1076.5699999999997,8.674321166706951
Ghaziabad,6653,3149,112.69,7.7,6.4,4.7,1.2,32685.33,10455.79,39890.17,29434.37,3802.790000000001,57.15902600330679
Ludhiana,6839,7535,61.51,6.6,5.4,8.0,0.9,37517.84,13706.75,32070.29,18363.53,6867.75,100.420383096944
Agra,8137,6470,42.53,8.0,7.6,7.6,1.5,23196.04,9577.15,49555.18,39978.03,1440.1499999999996,17.698783335381584
Nashik,5231,5385,135.21,6.6,2.9,7.1,1.6,30752.33,10016.47,49291.59,39275.12,4785.469999999999,91.48289046071496
Faridabad,7278,4730,70.02,6.3,7.8,4.1,1.4,33651.84,11773.75,48061.5,36287.75,4495.75,61.77177796097829
Meerut,4065,4352,24.39,8.1,5.5,7.2,1.6,30752.33,11861.61,49115.86,37254.25,7796.610000000001,191.79852398523985
Rajkot,6642,4151,31.53,5.7,7.8,7.5,0.7,28467.87,9137.84,18978.58,9840.75,2495.84,37.57663354411322
Varanasi,5212,3349,60.18,7.5,3.3,8.2,1.3,23986.82,6563.43,31279.51,24716.09,1351.4300000000003,25.929201841903303
Srinagar,9118,3320,67.7,4.8,5.1,5.9,0.6,29873.69,8777.59,18539.26,9761.67,-340.40999999999985,3.7333845141478377
Aurangabad,4041,4648,143.39,8.7,5.6,8.4,1.3,31191.65,10016.47,40329.48,30313.01,5975.469999999999,147.87107151695122
Dhanbad,7673,7999,87.4,5.1,7.4,6.9,1.2,25392.64,6668.86,31279.51,24610.65,-1004.1400000000003,13.086667535514145
Amritsar,6676,3388,27.1,4.6,8.2,7.4,0.9,33388.24,11334.43,30400.87,19066.44,4658.43,69.7787597363691
Navi Mumbai,7579,3021,91.95,5.0,6.5,4.5,1.4,44195.49,22932.45,59747.38,36814.93,15353.45,202.57883625808154
Allahabad,5798,5691,102.01,6.3,8.0,4.8,1.3,33915.43,9225.7,34003.29,24777.59,3427.7000000000007,59.11866160745086
Ranchi,5441,4663,47.82,4.4,5.8,5.3,1.1,29170.78,10631.52,35233.38,24601.86,5190.52,95.39643447895608
Howrah,6212,4401,50.3,5.4,4.7,4.8,1.4,26447.0,10016.47,39978.03,29961.56,3804.4699999999993,61.243882807469404
Jabalpur,4009,4939,74.11,4.7,2.9,5.5,1.3,28116.42,8645.8,32597.47,23951.67,4636.799999999999,115.65976552756297
Gwalior,9072,5474,67.32,6.5,5.6,5.3,1.1,28907.19,9752.88,31630.97,21878.09,680.8799999999992,7.505291005290997
Vijayawada,6016,3995,49.22,6.8,2.3,8.1,1.6,29258.65,9313.56,48325.09,39011.53,3297.5599999999995,54.813164893617014
Jodhpur,6343,5154,48.84,6.2,3.9,8.4,1.0,26447.0,10016.47,28643.6,18627.13,3673.4699999999993,57.913763203531445
Madurai,8532,3876,149.46,6.4,8.1,5.1,0.9,56760.01,8557.93,28292.14,19734.21,25.93000000000029,0.3039146741678421
