City,cost_one_person_usd,rent_one_person_usd,monthly_salary_after_tax_usd,income_after_rent_usd,months_covered,cost_one_person_inr,rent_one_person_inr,monthly_salary_after_tax_inr,income_after_rent_inr,usd_to_inr_rate_used,source_url
 Adoni,346,132,329,197,0.9,30400.87,11598.02,28907.19,17309.17,87.8638,https://livingcost.org/cost/india/ap/adoni
 Anantapur,345,136,571,435,1.7,30313.01,11949.48,50170.23,38220.75,87.8638,https://livingcost.org/cost/india/ap/anantapur
 Chirala,295,102,555,453,1.8,25919.82,8962.11,48764.41,39802.3,87.8638,https://livingcost.org/cost/india/ap/chirala
 Chittoor,400,81.5,404,322.5,1.4,35145.52,7160.9,35496.98,28336.08,87.8638,https://livingcost.org/cost/india/ap/chittoor
 Eluru,298,89.2,384,294.8,1.3,26183.41,7837.45,33739.7,25902.25,87.8638,https://livingcost.org/cost/india/ap/eluru
 Guntur,277,80.8,257,176.2,0.9,24338.27,7099.4,22581,15481.6,87.8638,https://livingcost.org/cost/india/ap/guntur
 Hindupur,470,131,433,302,1.3,41295.99,11510.16,38045.03,26534.87,87.8638,https://livingcost.org/cost/india/ap/hindupur
 Kadapa,333,144,223,79,0.6,29258.65,12652.39,19593.63,6941.24,87.8638,https://livingcost.org/cost/india/ap/kadapa
 Kakinada,363,84.4,398,313.6,1.4,31894.56,7415.7,34969.79,27554.09,87.8638,https://livingcost.org/cost/india/ap/kakinada
 Kurnool,290,128,633,505,1.8,25480.5,11246.57,55617.79,44371.22,87.8638,https://livingcost.org/cost/india/ap/kurnool
 Machilipatnam,445,90.1,227,136.9,0.7,39099.39,7916.53,19945.08,12028.55,87.8638,https://livingcost.org/cost/india/ap/machilipatnam
 Madanapalle,356,115,416,301,1.3,31279.51,10104.34,36551.34,26447,87.8638,https://livingcost.org/cost/india/ap/madanapalle
 Nandyal,328,132,490,358,1.4,28819.33,11598.02,43053.26,31455.24,87.8638,https://livingcost.org/cost/india/ap/nandyal
 Nellore,251,302,418,116,0.8,22053.81,26534.87,36727.07,10192.2,87.8638,https://livingcost.org/cost/india/ap/nellore
 Ongole,334,125,494,369,1.5,29346.51,10982.98,43404.72,32421.74,87.8638,https://livingcost.org/cost/india/ap/ongole
 Proddatur,301,146,485,339,1.3,26447,12828.11,42613.94,29785.83,87.8638,https://livingcost.org/cost/india/ap/proddatur
 Rajahmundry,301,105,390,285,1.3,26447,9225.7,34266.88,25041.18,87.8638,https://livingcost.org/cost/india/ap/rajahmundry
 Tenali,290,92.7,524,431.3,1.8,25480.5,8144.97,46040.63,37895.66,87.8638,https://livingcost.org/cost/india/ap/tenali
 Tirupati,301,121,223,102,0.7,26447,10631.52,19593.63,8962.11,87.8638,https://livingcost.org/cost/india/ap/tirupati
 Vijayawada,333,106,550,444,1.6,29258.65,9313.56,48325.09,39011.53,87.8638,https://livingcost.org/cost/india/ap/vijayawada
 Visakhapatnam,310,111,222,111,0.6,27237.78,9752.88,19505.76,9752.88,87.8638,https://livingcost.org/cost/india/ap/visakhapatnam
 Vizianagaram,255,78.9,442,363.1,1.7,22405.27,6932.45,38835.8,31903.35,87.8638,https://livingcost.org/cost/india/ap/vizianagaram
 Dibrugarh,402,138,316,178,0.8,35321.25,12125.2,27764.96,15639.76,87.8638,https://livingcost.org/cost/india/as/dibrugarh
 Dispur,338,111,393,282,1.2,29697.96,9752.88,34530.47,24777.59,87.8638,https://livingcost.org/cost/india/as/dispur
 Guwahati,348,110,354,244,1,30576.6,9665.02,31103.79,21438.77,87.8638,https://livingcost.org/cost/india/as/guwahati
 Bhagalpur,257,59.7,311,251.3,1.2,22581,5245.47,27325.64,22080.17,87.8638,https://livingcost.org/cost/india/br/bhagalpur
 Gaya,297,99.1,401,301.9,1.4,26095.55,8707.3,35233.38,26526.08,87.8638,https://livingcost.org/cost/india/br/gaya
 Muzaffarpur,350,90.7,339,248.3,1.2,30752.33,7969.25,29785.83,21816.58,87.8638,https://livingcost.org/cost/india/br/muzaffarpur
